Lake_Name,Sample Date,Site ID,Sample Depth (ft),Sample Depth (m),Temp.C,DO (%sat),DO (mg/L),sp.Cond (µs/cm),pH,ORP (mV),Chl a (ug/L),Turbidity
Buckhorn Lake,8/23/2016,SU03,NA,7,26.34,17.5,1.4,406,6.81,237.3,3.5,4.3
Buckhorn Lake,8/23/2016,SU03,NA,8,25.78,10.5,0.85,377,6.86,237.5,3.3,1.3
Buckhorn Lake,8/23/2016,SU03,NA,9,25.38,6.1,0.5,367,6.81,238.9,2.6,0.3
Buckhorn Lake,8/23/2016,SU03,NA,10,25.15,5.3,0.44,368,6.81,229.5,2.7,1.8
Buckhorn Lake,8/23/2016,SU03,NA,11,25.01,5.4,0.44,371,6.79,168.7,1.3,4
Lake Mohawk,8/29/2016,S03,NA,0.1,28.57,115.4,8.96,243,8.65,169.7,4.2,8.5
Lake Mohawk,8/29/2016,S03,NA,1,28.54,116.4,9.02,243,8.61,178.4,4.2,8.6999999999999993
Lake Mohawk,8/29/2016,S03,NA,2,27.3,105.2,8.22,243,8.31,189.5,4.9,8.6999999999999993
Lake Mohawk,8/29/2016,S03,NA,3,27.06,91,7.17,243,8.02,197.8,4.6,8.1999999999999993
Lake Mohawk,8/29/2016,S03,NA,4,26.62,68,5.32,242,7.74,206.4,2,3.8
Lake Mohawk,8/29/2016,S03,NA,5,24.77,25.4,1.82,257,7.4,174.3,2.2,1.6
Lake Mohawk,8/29/2016,S03,NA,6,22.35,8.3,0.7,289,7.29,-42.3,11.2,3.6
Lake Milton,8/30/2016,SU01,NA,0.1,29.34,126,9.62,450,8.9,159.6,9.4,4
Lake Milton,8/30/2016,SU01,NA,1,29.39,125.7,9.6,450,8.89,166.7,11.7,4
Lake Milton,8/30/2016,SU01,NA,2,27.48,139.6,11.22,445,9.7,169.9,22.8,6
Lake Milton,8/30/2016,SU01,NA,3,26.77,113.2,9.01,448,8.8,180.8,18.7,4.8
Lake Milton,8/30/2016,SU01,NA,4,26.57,93.8,7.54,449,8.65,189.4,17.3,4.5
Lake Milton,8/30/2016,SU01,NA,5,26.07,67.1,5.41,452,8.28,197.1,17.2,4.8
Lake Milton,8/30/2016,SU01,NA,6,26.08,61.7,5,452,8.2,200.9,16.4,5
Lake Milton,8/30/2016,SU01,NA,7,25.91,42.5,3.41,454,7.94,204.4,12.3,4.8
Lake Milton,8/30/2016,SU01,NA,8,25.76,24.4,1.9,454,7.74,208.6,10.3,5.6
Lake Milton,8/30/2016,SU01,NA,9,24.89,7.3,0.59,557,7.48,-89.3,14.5,71.2
Wingfoot Lake,8/31/2016,U16,NA,1,26.51,122.1,9.89,306,9.17,139.8,12.1,10.9
Wingfoot Lake,8/31/2016,U16,NA,2,26.13,105.5,8.34,309,9.8,165.4,11.2,15.4
Wingfoot Lake,8/31/2016,U16,NA,3,25.71,12.2,0.96,316,7.63,187.2,10.2,18.7
La Due Reservoir,9/7/2016,SU02,NA,0.1,25.75,127.8,10.42,377,9.04,157.6,19.2,15.9
La Due Reservoir,9/7/2016,SU02,NA,1,25.73,129.2,10.53,377,9.04,158.1,20.7,15.8
La Due Reservoir,9/7/2016,SU02,NA,2,25.63,126.4,10.28,378,8.99,159.3,17.9,15.3
La Due Reservoir,9/7/2016,SU02,NA,3,25.41,118.3,9.6,379,8.88,161.9,15.7,14.5
La Due Reservoir,9/7/2016,SU02,NA,4,25.3,109.8,8.99,380,8.83,164.7,14.4,14.8
La Due Reservoir,9/7/2016,SU02,NA,5,25.27,105,8.57,381,8.8,166.8,13.1,14.6
La Due Reservoir,9/7/2016,SU02,NA,6,23.63,9.3,0.78,392,7.73,-37.9,11.3,8.1999999999999993
Lake Roaming Rock,9/8/2016,S09,NA,0.1,27.92,148.4,11.67,228,9.2,126.3,7.8,31.9
Lake Roaming Rock,9/8/2016,S09,NA,1,27.53,147.8,11.66,228,9.17,130.5,5.8,27.7
Lake Roaming Rock,9/8/2016,S09,NA,2,25.98,128.5,10.42,228,9.01,139.6,6.5,23.5
Lake Roaming Rock,9/8/2016,S09,NA,3,24.9,85.5,7.06,230,8.26,156.1,4.9,2.7
Lake Roaming Rock,9/8/2016,S09,NA,4,23.96,50.2,4.2,231,7.79,164.6,4.3,1
Lake Roaming Rock,9/8/2016,S09,NA,5,22.75,8.9,0.76,230,7.3,135.1,6.3,3
Lake Roaming Rock,9/8/2016,S09,NA,6,17.83,5.9,0.56,242,7.09,-114.7,23,4.8
Senecaville Lake,9/13/2016,S04,NA,0.1,26.28,114.5,9.25,302,8.57,167.5,15.6,9.3000000000000007
Senecaville Lake,9/13/2016,S04,NA,1,26.27,116.1,9.36,302,8.54,137.5,17.9,9.4
Senecaville Lake,9/13/2016,S04,NA,2,25.57,77.5,6.13,306,7.94,185.3,15.3,9.1999999999999993
Senecaville Lake,9/13/2016,S04,NA,3,25.42,30.5,2.48,310,7.65,195.5,12.8,11.4
Senecaville Lake,9/13/2016,S04,NA,4,25.34,26.7,2.18,311,7.57,199.9,9.5,12.8
Senecaville Lake,9/13/2016,S04,NA,5,25.2,22.7,1.84,311,7.54,207.1,10.4,14.9
Senecaville Lake,9/13/2016,S04,NA,6,24.95,7.5,0.6,324,7.47,-5.8,13.3,19.2
Dillon Lake,9/14/2016,S02,NA,0.1,26.82,143.8,11.55,597,8.83,127.2,48.1,11.7
Dillon Lake,9/14/2016,S02,NA,1,26.21,117.6,9.45,602,8.7,132.1,35.9,11.3
Dillon Lake,9/14/2016,S02,NA,2,25.91,65.3,5.29,609,8.38,139.2,20.9,11.1
Dillon Lake,9/14/2016,S02,NA,3,25.8,49,3.93,613,8.22,147.1,17.6,12.9
Dillon Lake,9/14/2016,S02,NA,4,25.75,42.3,3.42,618,8.16,149.9,17.4,18.399999999999999
Dillon Lake,9/14/2016,S02,NA,5,25.72,36.9,3,622,8.13,153.1,18.2,23.4
Dillon Lake,9/14/2016,S02,NA,6,25.69,27.2,2.2,626,7.93,-38.4,23.2,69.599999999999994
Michael J Kirwan Reservoir,9/6/2016,S07,0,0,25.29,97,7.96,396.6,7.97,20.3,1.89,1.98
Michael J Kirwan Reservoir,9/6/2016,S07,3,0.9144,25.236,96.7,7.95,396.6,7.96,17.8,2.15,2.09
Michael J Kirwan Reservoir,9/6/2016,S07,5,1.524,25.191,96.1,7.91,396.5,7.94,12.4,2.72,2.0699999999999998
Michael J Kirwan Reservoir,9/6/2016,S07,10,3.048,25.138,94.7,7.8,396.6,7.9,0.7,2.97,2.09
Michael J Kirwan Reservoir,9/6/2016,S07,15,4.572,25.1,93.1,7.67,395.5,7.85,-14.7,3.15,2.13
Michael J Kirwan Reservoir,9/6/2016,S07,20,6.096,24.717,87.7,7.3,396.1,7.68,-45.5,3.02,2.84
Michael J Kirwan Reservoir,9/6/2016,S07,25,7.62,19.416,1,0.09,390,7.15,-211.3,1.71,7.32
Michael J Kirwan Reservoir,9/6/2016,S07,30,9.144,14.143,0.8,0.09,384.2,7.15,-231,1.65,19.100000000000001
Michael J Kirwan Reservoir,9/6/2016,S07,35,10.668,12.47,0.9,0.09,390.8,7.17,-228.9,2.16,34.61
Michael J Kirwan Reservoir,9/6/2016,S07,38,11.5824,12.2,2.2,0.23,393.9,7.26,-216.9,1.94,42.7
Acton Lake July,7/10/2017,U12,NA,0.1,25.51,172.1,14.1,372,8.94,156.3,20.5,17.600000000000001
Acton Lake July,7/10/2017,U12,NA,1,23.63,109.8,9.22,387,8.54,176.5,14,31.3
Acton Lake July,7/10/2017,U12,NA,2,21.88,57.6,5.02,377,8.28,182.1,5.7,26.9
Acton Lake July,7/10/2017,U12,NA,3,20.67,41.2,3.68,301,8.18,183.6,4.5,38.6
Acton Lake July,7/10/2017,U12,NA,4,20.52,21.4,1.92,347,7.99,186.3,4.1,33
Acton Lake July,7/10/2017,U12,NA,5,19.85,16.2,1.41,351,7.93,188.1,3.9,29.8
Acton Lake July,7/10/2017,U12,NA,6,18.46,5.8,0.54,467,7.81,193.5,4.3,16.5
Acton Lake July,7/10/2017,U12,NA,7,16.6,5,0.49,489,7.76,194.3,4.9,12.7
Acton Lake July,7/10/2017,U12,NA,8,15.66,4.8,0.47,499,7.72,183.6,4.5,10.5
Acton Lake Aug,8/31/2017,U12,NA,0.1,27.04,225.8,18.02,305,9.27,130.9,20,10.4
Acton Lake Aug,8/31/2017,U12,NA,1,25.7,190.6,15.6,310,9.1,145.8,40.8,10.8
Acton Lake Aug,8/31/2017,U12,NA,2,24.8,101.3,8.12,317,8.64,180.5,24.4,8.8000000000000007
Acton Lake Aug,8/31/2017,U12,NA,3,24.1,33.4,2.8,330,7.87,203.1,15.6,8
Acton Lake Aug,8/31/2017,U12,NA,4,23.89,71.5,0.62,338,7.65,208.9,16.1,12.4
Acton Lake Aug,8/31/2017,U12,NA,5,23.53,6.6,0.55,350,7.56,210.2,12.1,17.899999999999999
Acton Lake Aug,8/31/2017,U12,NA,6,21.16,5.7,0.55,418,7.24,-105.9,9.5,15.5
Acton Lake Aug,8/31/2017,U12,NA,7,18.7,5.1,0.47,462,7.13,-147.7,8.6,13.4
Acton Lake Oct,10/4/2017,U12,NA,0.1,21.6,127.6,11.23,324,8.88,154.4,27.2,8.6999999999999993
Acton Lake Oct,10/4/2017,U12,NA,1,21.56,127.6,11.25,314,8.88,157.9,35.2,8.3000000000000007
Acton Lake Oct,10/4/2017,U12,NA,2,21.32,117.4,10.4,325,8.81,162.5,35.1,8.3000000000000007
Acton Lake Oct,10/4/2017,U12,NA,3,20.6,73.2,6.56,331,8.42,174.4,29,6.5
Acton Lake Oct,10/4/2017,U12,NA,4,20.32,45.2,4.04,335,7.99,191.4,29.2,6.9
Acton Lake Oct,10/4/2017,U12,NA,5,20.1,17,1.55,341,7.71,199.5,18,8.3000000000000007
Acton Lake Oct,10/4/2017,U12,NA,6,20.02,9.5,0.85,343,7.64,201.3,16.1,8.5
Acton Lake Oct,10/4/2017,U12,NA,7,19.85,5.4,0.49,362,7.48,298.2,12.6,11.5
