"lake_id","site_id","visit","site_depth","site_wgt","lat","long","site_depth_units","site_wgt_units","sample_start","sample_end","chla_collection_date"
1004,"4",1,6.1,0.6125,"40.535095"," -81.258633","m","dimensionless",2016-06-29,2016-06-30,NA
1004,"5",1,1.9,0.398333333333333,"40.553410"," -81.252773","m","dimensionless",2016-06-29,2016-06-30,NA
1004,"6",1,3.8,0.398333333333333,"40.550885"," -81.254325","m","dimensionless",2016-06-29,2016-06-30,NA
1004,"7",1,1.3,0.6125,"40.536698"," -81.270243","m","dimensionless",2016-06-29,2016-06-30,NA
1004,"8",1,1.8,0.6125,"40.533611"," -81.257090","m","dimensionless",2016-06-29,2016-06-30,NA
1004,"9",1,3.8,0.398333333333333,"40.547860"," -81.245145","m","dimensionless",2016-06-29,2016-06-30,NA
1004,"10",1,2.2,0.398333333333333,"40.556848"," -81.233483","m","dimensionless",2016-06-29,2016-06-30,NA
1004,"31",1,1.7,0.24,"40.556341"," -81.220621","m","dimensionless",2016-06-29,2016-06-30,NA
1004,"33",1,1.1,0.24,"40.558348"," -81.206512","m","dimensionless",2016-06-29,2016-06-30,2016-06-29
1004,"34",1,1.3,0.24,"40.559258"," -81.216106","m","dimensionless",2016-06-29,2016-06-30,NA
1004,"35",1,0.9,0.24,"40.562790"," -81.223531","m","dimensionless",2016-06-29,2016-06-30,NA
1004,"36",1,0.9,0.24,"40.557608"," -81.210188","m","dimensionless",2016-06-29,2016-06-30,NA
1005,"1",1,8.8,1.14,"39.515710"," -84.995941","m","dimensionless",2016-08-18,2016-08-19,NA
1005,"2",1,3,1.14,"39.554587"," -84.996826","m","dimensionless",2016-08-18,2016-08-19,NA
1005,"3",1,16.2,1.37285714285714,"39.492232"," -84.995624","m","dimensionless",2016-08-18,2016-08-19,NA
1005,"4",1,1.5,1.37285714285714,"39.472906"," -84.985033","m","dimensionless",2016-08-18,2016-08-19,NA
1005,"5",1,6.1,1.14,"39.524456"," -84.994379","m","dimensionless",2016-08-18,2016-08-19,NA
1005,"6",1,14.9,1.14,"39.506980"," -84.998664","m","dimensionless",2016-08-18,2016-08-19,NA
1005,"7",1,25.9,1.37285714285714,"39.475059"," -84.997600","m","dimensionless",2016-08-18,2016-08-19,NA
1005,"8",1,8.5,1.37285714285714,"39.447567"," -85.001530","m","dimensionless",2016-08-18,2016-08-19,NA
1005,"9",1,13.7,1.14,"39.531099"," -84.998711","m","dimensionless",2016-08-18,2016-08-19,NA
1005,"10",1,2.4,1.14,"39.518553"," -84.991371","m","dimensionless",2016-08-18,2016-08-19,NA
1005,"11",1,9.1,1.37285714285714,"39.481299"," -84.975980","m","dimensionless",2016-08-18,2016-08-19,NA
1005,"12",1,6.1,1.14,"39.566863"," -85.005483","m","dimensionless",2016-08-18,2016-08-19,NA
1005,"13",1,5.8,1.14,"39.541921"," -85.000410","m","dimensionless",2016-08-18,2016-08-19,NA
1005,"14",1,22.2,1.37285714285714,"39.498171"," -84.991778","m","dimensionless",2016-08-18,2016-08-19,2016-08-18
1005,"15",1,13.7,1.37285714285714,"39.461459"," -84.992398","m","dimensionless",2016-08-18,2016-08-19,NA
1005,"31",1,2.7,0.328,"39.588736"," -84.985866","m","dimensionless",2016-08-18,2016-08-19,NA
1005,"32",1,1.1,0.328,"39.612401"," -84.989497","m","dimensionless",2016-08-18,2016-08-19,NA
1005,"33",1,1.8,0.328,"39.594942"," -84.981661","m","dimensionless",2016-08-18,2016-08-19,NA
1005,"34",1,2,0.328,"39.602530"," -84.986077","m","dimensionless",2016-08-18,2016-08-19,NA
