"lake_id","name","value","units"
55,"nla17_site_id","NLA17_OH-10027",NA
55,"nla22_site_id","NLA22_OH-10018",NA
55,"nhdplus_comid","19386918",NA
55,"gnis_id","1078733",NA
55,"lagoslakeid","2039",NA
55,"nid_id","OH00637",NA
67,"nla17_site_id","NLA17_MT-10036",NA
67,"nla12_site_id","NLA12_MT-161",NA
67,"nhdplus_comid","12461540",NA
67,"gnis_id","771517",NA
67,"lagoslakeid","323994",NA
67,"hylak_id","104407",NA
68,"nla17_site_id","NLA17_ND-10021",NA
68,"nla12_site_id","NLA12_ND-131",NA
68,"nhdplus_comid","16237597",NA
68,"gnis_id","1032544",NA
68,"lagoslakeid","341692",NA
68,"hylak_id","8643",NA
68,"grand_id","798",NA
68,"nid_id","ND00149",NA
71,"nla17_site_id","NLA17_MT-10001",NA
71,"nla12_site_id","NLA12_MT-104",NA
71,"nla07_site_id","NLA06608-0378",NA
71,"nhdplus_comid","12394688",NA
71,"gnis_id","801708",NA
71,"lagoslakeid","319208",NA
71,"hylak_id","105301",NA
71,"grand_id","320",NA
71,"nid_id","MT00577",NA
72,"nla17_site_id","NLA17_MT-10003",NA
72,"nla12_site_id","NLA12_MT-109",NA
72,"nla07_site_id","NLA06608-0240",NA
72,"nhdplus_comid","167204935",NA
72,"gnis_id","774584",NA
72,"lagoslakeid","323197",NA
72,"hylak_id","8297",NA
72,"grand_id","295",NA
72,"nid_id","MT00574",NA
75,"nla17_site_id","NLA17_SD-10052",NA
75,"nla12_site_id","NLA12_SD-143",NA
75,"nhdplus_comid","16131367",NA
75,"lagoslakeid","346238",NA
75,"nid_id","SD01173",NA
76,"nla12_site_id","NLA12_MT-113",NA
76,"nhdplus_comid","12744019",NA
76,"gnis_id","771249",NA
76,"lagoslakeid","318415",NA
76,"hylak_id","104709",NA
76,"nid_id","MT01354",NA
77,"nla12_site_id","NLA12_MT-160",NA
77,"nhdplus_comid","4061192",NA
77,"gnis_id","770196",NA
77,"lagoslakeid","325238",NA
77,"hylak_id","1031968",NA
77,"nid_id","MT00021",NA
78,"nla17_site_id","NLA17_SD-10016",NA
78,"nla12_site_id","NLA12_SD-168",NA
78,"nhdplus_comid","11251122",NA
78,"gnis_id","1266445",NA
78,"lagoslakeid","343711",NA
78,"hylak_id","1037404",NA
79,"nla17_site_id","NLA17_SD-10015",NA
79,"nla12_site_id","NLA12_SD-147",NA
79,"nhdplus_comid","11666754",NA
79,"gnis_id","1257454",NA
79,"lagoslakeid","349348",NA
79,"hylak_id","1048970",NA
79,"nid_id","SD00043",NA
83,"nla17_site_id","NLA17_IN-10009",NA
83,"nla22_site_id","NES22-10087",NA
83,"nla12_site_id","NLA12_IN-115",NA
83,"nla07_site_id","NLA06608-0212",NA
83,"nhdplus_comid","18443736",NA
83,"lagoslakeid","3651",NA
83,"hylak_id","9229",NA
83,"grand_id","1684",NA
83,"nid_id","IN03001",NA
83,"nhdplus_comid","166899251",NA
83,"gnis_id","451234",NA
101,"nla17_site_id","NLA17_OH-10003",NA
101,"nla12_site_id","NLA12_OH-127",NA
101,"nhdplus_comid","3484673",NA
101,"gnis_id","1078504",NA
101,"lagoslakeid","3253",NA
101,"hylak_id","1057141",NA
101,"nid_id","OH00507",NA
103,"nla17_site_id","NLA17_MD-10026",NA
103,"nla22_site_id","NLA22_MD-10022",NA
103,"nla07_site_id","NLA06608-R31",NA
103,"nhdplus_comid","125914857",NA
103,"lagoslakeid","142983",NA
103,"hylak_id","1056731",NA
103,"nid_id","MD00139",NA
116,"nla17_site_id","NLA17_WV-10004",NA
116,"nla12_site_id","NLA12_WV-112",NA
116,"nhdplus_comid","19314376",NA
116,"lagoslakeid","259224",NA
149,"nla17_site_id","NLA17_NE-10029",NA
149,"nla22_site_id","NES22-10144",NA
149,"nla12_site_id","NLA12_NE-114",NA
149,"nla07_site_id","NLA06608-2740",NA
149,"nhdplus_comid","17373390",NA
149,"gnis_id","834983",NA
149,"lagoslakeid","364887",NA
149,"hylak_id","111804",NA
149,"grand_id","912",NA
149,"nid_id","NE01077",NA
149,"nhdplus_comid","17373392",NA
155,"nla17_site_id","NLA17_NE-10007",NA
155,"nla12_site_id","NLA12_NE-160",NA
155,"nhdplus_comid","17508468",NA
155,"gnis_id","831339",NA
155,"lagoslakeid","358471",NA
155,"hylak_id","111553",NA
155,"grand_id","904",NA
155,"nid_id","NE01075",NA
157,"nla17_site_id","NLA17_NM-10003",NA
157,"nla12_site_id","NLA12_NM-160",NA
157,"nhdplus_comid","20814160",NA
157,"lagoslakeid","448036",NA
157,"hylak_id","112888",NA
157,"grand_id","611",NA
157,"nid_id","NM00245",NA
159,"nla17_site_id","NLA17_CO-10050",NA
159,"nla22_site_id","NLA22_CO-10036",NA
159,"nhdplus_comid","188011",NA
159,"lagoslakeid","359874",NA
159,"hylak_id","1056529",NA
165,"nla17_site_id","NLA17_CO-10057",NA
165,"nla22_site_id","NLA22_CO-10043",NA
165,"nhdplus_comid","167246042",NA
165,"lagoslakeid","361422",NA
165,"hylak_id","1055507",NA
188,"nla17_site_id","NLA17_NM-10022",NA
188,"nla22_site_id","NLA22_NM-10013",NA
188,"nla07_site_id","NLA06608-1380",NA
188,"nhdplus_comid","20064419",NA
188,"gnis_id","923893",NA
188,"lagoslakeid","386846",NA
188,"hylak_id","112776",NA
188,"nid_id","NM00124",NA
191,"nla17_site_id","NLA17_IA-10007",NA
191,"nla12_site_id","NLA12_IA-127",NA
191,"nhdplus_comid","5798096",NA
191,"gnis_id","461470",NA
191,"lagoslakeid","19195",NA
191,"hylak_id","1055205",NA
191,"nid_id","IA01339",NA
195,"nla17_site_id","NLA17_IL-10011",NA
195,"nla22_site_id","NLA22_IL-10005",NA
195,"nhdplus_comid","13435489",NA
195,"gnis_id","413721",NA
195,"lagoslakeid","6765",NA
195,"nid_id","IL00566",NA
204,"nla17_site_id","NLA17_OH-10007",NA
204,"nla12_site_id","NLA12_OH-112",NA
204,"nhdplus_comid","15610820",NA
204,"gnis_id","1078434",NA
204,"lagoslakeid","3695",NA
204,"hylak_id","1054453",NA
204,"nid_id","OH00469",NA
205,"nla17_site_id","NLA17_IN-10141",NA
205,"nhdplus_comid","3397968",NA
205,"lagoslakeid","50112",NA
205,"hylak_id","1053681",NA
207,"nla17_site_id","NLA17_IL-10004",NA
207,"nla12_site_id","NLA12_IL-114",NA
207,"nhdplus_comid","13583718",NA
207,"lagoslakeid","6445",NA
207,"hylak_id","1055540",NA
208,"nla17_site_id","NLA17_IL-10009",NA
208,"nla07_site_id","NLA06608-1724",NA
208,"nhdplus_comid","13604166",NA
208,"gnis_id","1692499",NA
208,"lagoslakeid","6573",NA
208,"nid_id","IL01147",NA
209,"nla22_site_id","NLA22_KY-10018",NA
209,"nhdplus_comid","11895232",NA
209,"lagoslakeid","262225",NA
209,"hylak_id","1058994",NA
209,"nid_id","KY00858",NA
210,"nla17_site_id","NLA17_IN-10171",NA
210,"nhdplus_comid","13435569",NA
210,"lagoslakeid","135533",NA
210,"hylak_id","1054250",NA
210,"nid_id","IN00791",NA
211,"nla17_site_id","NLA17_OH-10013",NA
211,"nla22_site_id","NLA22_OH-10005",NA
211,"nhdplus_comid","3483393",NA
211,"gnis_id","1042876",NA
211,"lagoslakeid","2097",NA
211,"hylak_id","1056158",NA
211,"nid_id","OH00439",NA
214,"nla17_site_id","NLA17_IL-10013",NA
214,"nla22_site_id","NLA22_IL-10007",NA
214,"nhdplus_comid","13570445",NA
214,"gnis_id","421484",NA
214,"lagoslakeid","6522",NA
214,"nid_id","IL00511",NA
